iteration	average comm savings
0	0.50797526
1	0.520507813
2	0.50390625
3	0.507486979
4	0.504882813
5	0.501790365
6	0.520019531
7	0.504394531
8	0.512695313
9	0.489257813
10	0.5
11	0.502766927
12	0.503092448
13	0.499186198
14	0.486653646
15	0.48844401
16	0.48811849
17	0.48844401
18	0.49235026
19	0.498372396
20	0.4921875
21	0.489908854
22	0.492513021
23	0.497558594
24	0.488769531
25	0.513020833
26	0.534586589
27	0.517008464
28	0.517985026
29	0.512613932
30	0.517740885
31	0.50390625
32	0.513102214
33	0.514811198
34	0.513753255
35	0.520182292
36	0.524251302
37	0.518229167
38	0.51546224
39	0.509684245
40	0.515625
41	0.520019531
42	0.513427734
43	0.513427734
44	0.516520182
45	0.521484375
46	0.514567057
47	0.515055339
48	0.50374349
49	0.496744792
50	0.495524089
51	0.506429036
52	0.505371094
53	0.50008138
54	0.496419271
55	0.504394531
56	0.504801432
57	0.496988932
58	0.504150391
59	0.494547526
60	0.497639974
61	0.495198568
62	0.504150391
63	0.493408203
64	0.489746094
65	0.490234375
66	0.491780599
67	0.487874349
68	0.49210612
69	0.490966797
70	0.499023438
71	0.49593099
72	0.494466146
73	0.497639974
74	0.494710286
75	0.492431641
76	0.487955729
77	0.488606771
78	0.486897786
79	0.491129557
80	0.48836263
81	0.484944661
82	0.483154297
83	0.489908854
84	0.487467448
85	0.488037109
86	0.495279948
87	0.491210938
88	0.487060547
89	0.485514323
90	0.490641276
91	0.494140625
92	0.48836263
93	0.49202474
94	0.485026042
95	0.496419271
96	0.494710286
97	0.495605469
98	0.485758464
99	0.486409505
100	0.48453776
101	0.489908854
102	0.495117188
103	0.489664714
104	0.487792969
105	0.501546224
106	0.491129557
107	0.490804036
108	0.50374349
109	0.491943359
110	0.493489583
111	0.489013672
112	0.495361328
113	0.487874349
114	0.494547526
115	0.495279948
116	0.498697917
117	0.492757161
118	0.494384766
119	0.485351563
120	0.495686849
121	0.495524089
122	0.495524089
123	0.494710286
124	0.496419271
125	0.49593099
126	0.490315755
127	0.493164063
128	0.492919922
129	0.490234375
130	0.487467448
131	0.491699219
132	0.496419271
133	0.485595703
134	0.493164063
135	0.492675781
136	0.50008138
137	0.498535156
138	0.48819987
139	0.497721354
140	0.50016276
141	0.490397135
142	0.486246745
143	0.486490885
144	0.484944661
145	0.48445638
146	0.482096354
147	0.487630208
148	0.48453776
149	0.486328125
150	0.485514323
151	0.486246745
152	0.483235677
153	0.485677083
154	0.491373698
155	0.490234375
156	0.489908854
157	0.486979167
158	0.498372396
159	0.485921224
160	0.487874349
161	0.489095052
162	0.487386068
163	0.4921875
164	0.490234375
165	0.493652344
166	0.494222005
167	0.492594401
168	0.494466146
169	0.494140625
170	0.487548828
171	0.490559896
172	0.498697917
173	0.494547526
174	0.48819987
175	0.49210612
176	0.489746094
177	0.489013672
178	0.493082682
179	0.487792969
180	0.498779297
