epoch;averagre reward
1;-93.02701342
2;-93.08878232
3;-93.20289936
4;-93.16739302
5;-93.14560997
6;-93.22813821
7;-93.20517989
8;-93.32224631
9;-93.33375412
10;-93.49588413
11;-93.60011234
12;-93.75558501
13;-93.77272163
14;-93.76867483
15;-93.79702642
16;-93.90117981
17;-93.93714425
18;-94.04300976
19;-94.11129364
20;-94.20703922
21;-94.30695271
22;-94.34549287
23;-94.44878496
24;-94.5273045
25;-94.5987514
26;-94.62249269
27;-94.79992994
28;-94.90870903
29;-94.99066922
30;-95.45599587
31;-95.46096141
32;-95.33771377
33;-95.336789
34;-95.28996335
35;-95.35553291
36;-95.58116272
37;-95.58940013
38;-95.44978392
39;-95.55569999
40;-95.72069039
41;-95.87650733
42;-96.16348873
43;-96.12665521
44;-96.03181994
45;-96.04401629
46;-96.15892108
47;-96.14671984
48;-96.20219443
49;-96.15040668
50;-96.08663817
51;-95.99450606
52;-95.69189347
53;-95.40915819
54;-94.957503
55;-95.0155584
56;-94.81756041
57;-94.7885313
58;-94.8421769
59;-94.19772868
60;-93.8137598
61;-93.61203626
62;-93.54201594
63;-93.35417428
64;-93.25437605
65;-93.15977193
66;-93.24159622
67;-92.98978242
68;-92.93438886
69;-92.49770958
70;-92.43950895
71;-92.4131968
72;-92.22009774
73;-91.94467598
74;-91.29686415
75;-90.90152614
76;-90.34868961
77;-89.34490509
78;-88.87595953
79;-88.36802921
80;-87.52779059
81;-86.87184736
82;-85.67393766
83;-85.7189498
84;-85.23922687
85;-84.79273878
86;-84.37083191
87;-83.69727128
88;-83.22257397
89;-82.84631795
90;-81.3259401
91;-80.66373601
92;-79.96763388
93;-78.84030397
94;-78.6274308
95;-78.15531367
96;-77.13572944
97;-76.71111589
98;-76.38328263
99;-76.16646972
100;-75.61592048
101;-74.54082337
102;-73.90861759
103;-72.77145336
104;-72.17753762
105;-71.64298834
106;-70.94685394
107;-70.59294843
108;-68.83107771
109;-68.39947116
110;-67.93432132
