Iteration;real reward;Average (50 iters);Std;Niederwert;Hochwert
0;-109.1348492;-101.9941524;5.803317209;-107.7974696;-96.19083516
1;-107.5767791;-101.3307381;6.022426398;-107.3531645;-95.30831167
2;-102.3977431;-100.426623;6.278898326;-106.7055213;-94.14772464
3;-106.8941818;-99.65569236;6.54474506;-106.2004374;-93.1109473
4;-105.448931;-99.04343432;6.822136301;-105.8655706;-92.22129802
5;-105.2496593;-98.46278028;7.122795355;-105.5855756;-91.33998493
6;-106.5309568;-97.66712264;7.447554417;-105.1146771;-90.21956822
7;-105.9044145;-96.73667674;7.75772787;-104.4944046;-88.97894887
8;-102.4102662;-95.12145256;8.060634239;-103.1820868;-87.06081832
9;-105.6432126;-93.8264902;8.358866268;-102.1853565;-85.46762393
10;-107.9563001;-92.78683171;8.669638146;-101.4564699;-84.11719356
11;-108.9209213;-92.05682264;8.976531124;-101.0333538;-83.08029152
12;-107.2775392;-92.34060898;9.281491308;-101.6221003;-83.05911768
13;-105.8696577;-90.98062334;9.601431265;-100.5820546;-81.37919208
14;-101.7561774;-90.12776378;9.930048403;-100.0578122;-80.19771538
15;-106.6406137;-90.35562949;10.2385913;-100.5942208;-80.11703819
16;-106.7696827;-89.13582016;10.56688033;-99.70270049;-78.56893983
17;-103.7093787;-88.08409969;10.89258763;-98.97668732;-77.19151206
18;-115.0069202;-87.85305176;11.22046944;-99.07352121;-76.63258232
19;-98.2295046;-87.20225686;11.55394665;-98.7562035;-75.64831021
20;-91.62991662;-86.83148028;11.87913291;-98.71061319;-74.95234737
21;-99.48811951;-86.13972781;12.1743878;-98.31411561;-73.96534001
22;-94.13341198;-85.58722805;12.47242459;-98.05965264;-73.11480346
23;-98.86146653;-84.81645651;12.76745968;-97.5839162;-72.04899683
24;-56.31376387;-83.97337215;13.06889898;-97.04227114;-70.90447317
25;-92.0935938;-83.22594826;13.3585738;-96.58452206;-69.86737446
26;-84.08196641;-81.90098175;13.4207927;-95.32177445;-68.48018906
27;-76.01551522;-80.54252193;13.46385655;-94.00637847;-67.07866538
28;-78.06963528;-79.54515803;13.51813165;-93.06328968;-66.02702638
29;-81.28795121;-78.48512618;13.55671355;-92.04183973;-64.92841262
30;-81.04315912;-77.19709645;13.58865519;-90.78575164;-63.60844126
31;-73.00173555;-75.83525967;13.60658536;-89.44184503;-62.22867431
32;-66.96240813;-75.0757417;13.60133434;-88.67707604;-61.47440736
33;-41.81905462;-74.22535375;13.57549492;-87.80084867;-60.64985883
34;-49.79776995;-73.34536226;13.53468736;-86.88004962;-59.81067489
35;-56.39878435;-72.14234873;13.49641829;-85.63876702;-58.64593044
36;-65.77649625;-71.22845959;13.44465083;-84.67311042;-57.78380876
37;-102.8407037;-70.28386651;13.39768529;-83.6815518;-56.88618122
38;-39.30116904;-68.98791792;13.32740713;-82.31532504;-55.66051079
39;-56.86624068;-67.78449376;13.23974314;-81.0242369;-54.54475062
40;-99.47025782;-67.18505069;13.14364701;-80.3286977;-54.04140367
41;-39.12363777;-65.74239696;13.02033949;-78.76273645;-52.72205748
42;-43.91183991;-64.75721112;12.88579134;-77.64300246;-51.87141978
43;-77.91799099;-63.66541053;12.74208377;-76.40749429;-50.92332676
44;-58.56728096;-62.48326857;12.57332536;-75.05659393;-49.90994321
45;-70.14653416;-61.62504942;12.37742352;-74.00247295;-49.2476259
46;-54.31911444;-61.35050009;12.14911331;-73.49961341;-49.20138678
47;-59.6197392;-60.29883287;11.90277884;-72.20161171;-48.39605404
48;-47.81942279;-59.39598036;11.64027275;-71.03625312;-47.75570761
49;-42.66223842;-58.23906326;11.3392945;-69.57835776;-46.89976876
50;-45.85475376;-57.5796343;11.02391075;-68.60354505;-46.55572355
51;-41.56155731;-57.02312363;10.67795686;-67.70108048;-46.34516677
52;-38.29532798;-56.48709117;10.32696796;-66.81405914;-46.16012321
53;-51.53218424;-55.29543793;9.989348509;-65.28478643;-45.30608942
54;-52.83255737;-54.76020935;9.657089662;-64.41729901;-45.10311969
55;-39.75941488;-53.8101645;9.329665514;-63.13983002;-44.48049899
56;-35.79598352;-53.0348975;9.006590902;-62.0414884;-44.02830659
57;-67.79554051;-52.75492652;8.698445046;-61.45337157;-44.05648148
58;-62.534629;-52.57483682;8.393350744;-60.96818757;-44.18148608
59;-57.53069986;-53.01726753;8.088388681;-61.10565622;-44.92887885
60;-44.28952302;-52.62013801;7.771234039;-60.39137205;-44.84890397
61;-61.34795367;-52.54011564;7.474923894;-60.01503953;-45.06519174
62;-60.74667422;-51.50773385;7.192020854;-58.6997547;-44.31571299
63;-41.18416104;-50.28256262;6.926915301;-57.20947792;-43.35564732
64;-44.49502577;-50.68476373;6.676987158;-57.36175089;-44.00777658
65;-71.18458065;-50.25514068;6.443422838;-56.69856352;-43.81171784
66;-33.06527385;-49.1759568;6.230543283;-55.40650009;-42.94541352
67;-56.52520459;-49.2597643;6.037956252;-55.29772055;-43.22180805
68;-48.02754844;-49.12124738;5.883340094;-55.00458748;-43.23790729
69;-54.71768023;-48.52198778;5.762377113;-54.28436489;-42.75961067
70;-54.46032838;-48.53231147;5.668023105;-54.20033457;-42.86428836
71;-77.62790076;-48.34504348;5.606192995;-53.95123647;-42.73885048
72;-45.85309116;-48.03440524;5.573411223;-53.60781647;-42.46099402
73;-48.08793391;-47.41129856;5.580014514;-52.99131307;-41.83128404
74;-39.85869441;-48.01418386;5.60014124;-53.6143251;-42.41404262
75;-22.68288677;-47.76992157;5.650553229;-53.4204748;-42.11936834
76;-63.71154957;-48.04826032;5.698516744;-53.74677707;-42.34974358
77;-56.74431139;-48.33666575;5.763814772;-54.10048052;-42.57285098
